Reference,Qty,Value,Footprint,MPN,Manufacturer,LCSC,LC_Stock,Chosen_Distributor,Datasheet,Validated,DNP,Notes
"C1,C3",2,100nF,0603,CC0603KRX7R9BB104,Yageo,C14663,,,,,,
C2,1,10uF,0805,CL21A106KAYNNNE,Samsung,C15850,,,,,,
D1,1,TSAL6200,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRGrey,TSAL6200,Vishay,C55528,,,,,,
D2,1,TSAL6100,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRGrey,TSAL6100,Vishay,C111836,,,,,,
D4,1,Green,0603,XL-1608SYGC-06,XINGLIGHT,C965805,,,,,,
D5,1,Amber,0603,NCD0603Y1,Honglitronic,C84268,,,,,,
J1,1,USB_C,USB_C_Receptacle_HRO_TYPE-C-31-M-12,TYPE-C-31-M-12,Korean Hroparts,C165948,,,,,,
J2,1,Interface_A,IDC-Header_2x10_P2.54mm_Vertical,BH254V-20P,BOOMELE,C492444,,,,,,
"Q1,Q2",2,MMBT2222A,SOT-23,MMBT2222A,LRC,C727131,,,,,,
"R1,R2",2,5.1k,0603,FRC0603F5101TS,FH,C2907044,,,,,,
R3,1,470R,0603,RC0603JR-07470RL,Yageo,C114433,,,,,,
R4,1,3R3,1206,FRC1206F3R30TS,FH,C2930397,,,,,,
"R7,R8",2,1k,0603,0603WAF1001T5E,Uniroyal,C21190,,,,,,
R9,1,10k,0603,RC0603FR-0710KL,Yageo,C98220,,,,,,
SW1,1,BOOT,SW_TS3315A,TS3315A,XKB Connection,C412367,,,,,,
U1,1,CH552T,TSSOP-20_4.4x6.5mm_P0.65mm,CH552T,WCH,C111367,,,,,,
