Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0603,2,100nF,C14663
C2,0805,1,10uF,C15850
D1,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRGrey,1,TSAL6200,C55528
D2,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRGrey,1,TSAL6100,C111836
D4,0603,1,Green,C965805
D5,0603,1,Amber,C84268
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C,C165948
J2,IDC-Header_2x10_P2.54mm_Vertical,1,Interface_A,C492444
"Q1, Q2",SOT-23,2,MMBT2222A,C727131
"R1, R2",0603,2,5.1k,C2907044
R3,0603,1,470R,C114433
R4,1206,1,3R3,C2930397
"R7, R8",0603,2,1k,C21190
R9,0603,1,10k,C98220
SW1,SW_TS3315A,1,BOOT,C412367
U1,TSSOP-20_4.4x6.5mm_P0.65mm,1,CH552T,C111367
