Designator,Mid X,Mid Y,Rotation,Layer
C1,135.925,-83.1,180.0,top
C2,135.95,-80.25,90.0,top
C3,135.975,-77.45,180.0,top
D1,147.795,-64.5,180.0,top
D2,140.595,-64.5,180.0,top
D4,141.4,-78.5375,270.0,top
D5,141.35,-82.0625,90.0,top
J1,138.85,-97.945,0.0,top
J2,150.13,-84.19,180.0,top
Q1,141.475,-69.7,90.0,top
Q2,141.475,-73.6375,270.0,top
R1,134.7,-89.925,90.0,top
R2,134.7,-86.125,270.0,top
R3,139.3,-78.525,90.0,top
R4,135.95,-67.5125,270.0,top
R7,143.4,-78.55,270.0,top
R8,143.35,-82.075,90.0,top
R9,139.3,-82.075,270.0,top
SW1,135.975,-73.275,270.0,top
U1,140.2125,-88.025,90.0,top
